timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:55.366,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:55.366,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:55.367,URLLC,PUSCH,UL,1.0,-17.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:55.370,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.371,URLLC,PDSCH,DL,7.0,-111.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.3,,,
2025-08-29 13:37:55.371,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.372,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.372,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.375,URLLC,MAC,UL,,,,,,,,,,,,172.0
2025-08-29 13:37:55.375,URLLC,PDCCH,DL,,,,,,,,,,18.0,,
2025-08-29 13:37:55.377,URLLC,PUSCH,UL,2.0,-266.0,177.0,6.0,0.0,0.8,0.0,1.0,,,,
2025-08-29 13:37:55.462,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.466,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:55.466,URLLC,MAC,UL,,,,,,,,,,,,115.0
2025-08-29 13:37:55.467,URLLC,PUSCH,UL,3.0,-95.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:55.470,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.471,URLLC,PDSCH,DL,8.0,-175.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.3,,,
2025-08-29 13:37:55.471,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.472,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.472,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.475,URLLC,PDCCH,DL,,,,,,,,,,15.0,,
2025-08-29 13:37:55.475,URLLC,MAC,UL,,,,,,,,,,,,136.0
2025-08-29 13:37:55.477,URLLC,PUSCH,UL,4.0,-266.0,141.0,6.0,0.0,0.65,0.0,1.0,,,,
2025-08-29 13:37:55.562,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.566,URLLC,PDCCH,DL,,,,,,,,,,14.0,,
2025-08-29 13:37:55.566,URLLC,MAC,UL,,,,,,,,,,,,124.0
2025-08-29 13:37:55.567,URLLC,PUSCH,UL,5.0,-251.0,129.0,6.0,0.0,0.6,0.0,1.0,,,,
2025-08-29 13:37:55.570,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:55.571,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:55.571,URLLC,PDSCH,DL,9.0,-47.0,4992.0,8.0,0.0,0.78,0.0,1.0,32.9,,,
2025-08-29 13:37:55.572,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:55.572,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
